,date_hour,date,hour,timestamp,position_x,position_y,position_z,latitude,longitude,altitude,speed,acceleration
1656,2023-07-27 22:21:14.775000,27/07/2023,22:21:14:775000,1690507274775000.0,3746523.498,-4237614.134,-2937480.715,-27.601844392510277,-48.519731073188,9.944957423405809,9.005546901771153,29.10368916477772
1657,2023-07-27 22:21:14.800000,27/07/2023,22:21:14:800000,1690507274800000.0,3746523.361,-4237614.33,-2937480.817,-27.601844973671778,-48.51973342791213,10.04192855606154,9.089479468044361,21.821917101849692
1658,2023-07-27 22:21:14.825000,27/07/2023,22:21:14:825000,1690507274825000.0,3746523.182,-4237614.462,-2937480.865,-27.601845439779424,-48.5197356719665,10.046736333508257,9.098507350109687,14.944905419573587
1659,2023-07-27 22:21:14.850000,27/07/2023,22:21:14:850000,1690507274850000.0,3746523.003,-4237614.595,-2937480.912,-27.60184589475745,-48.5197379227303,10.05174471394987,9.098778544398144,6.88693821665332
1660,2023-07-27 22:21:14.875000,27/07/2023,22:21:14:875000,1690507274875000.0,3746522.825,-4237614.726,-2937480.963,-27.60184638521943,-48.519740152486385,10.057865542714891,9.097372203004559,12.59980718106432
1661,2023-07-27 22:21:14.900000,27/07/2023,22:21:14:900000,1690507274900000.0,3746522.645,-4237614.854,-2937481.019,-27.60184693060322,-48.51974237729201,10.063137291079178,9.10762351000523,10.507769030579231
1662,2023-07-27 22:21:14.925000,27/07/2023,22:21:14:925000,1690507274925000.0,3746522.463,-4237614.979,-2937481.08,-27.60184753090881,-48.51974459714716,10.067559960909136,9.172172588869007,9.81297192495729
1663,2023-07-27 22:21:14.950000,27/07/2023,22:21:14:950000,1690507274950000.0,3746522.281,-4237615.105,-2937481.142,-27.60184813607907,-48.519746823711756,10.073109881681303,9.258977589345381,15.432384974461984
1664,2023-07-27 22:21:14.975000,27/07/2023,22:21:14:975000,1690507274975000.0,3746522.097,-4237615.229,-2937481.208,-27.601848785041554,-48.51974905203531,10.07801131654092,9.306133998605436,18.404610998334086
1665,2023-07-27 22:21:15.000000,27/07/2023,22:21:15:000000,1690507275000000.0,3746521.928,-4237615.395,-2937481.341,-27.6018497967085,-48.51975144832116,10.150644748179307,9.333831689076035,10.933513159090266
1666,2023-07-27 22:21:15.025000,27/07/2023,22:21:15:025000,1690507275025000.0,3746521.742,-4237615.516,-2937481.416,-27.601850532581285,-48.51975367169426,10.156550413755193,9.379821213647945,10.81960563052092
1667,2023-07-27 22:21:15.050000,27/07/2023,22:21:15:050000,1690507275050000.0,3746521.555,-4237615.637,-2937481.492,-27.60185127922059,-48.519755902656286,10.162332435008468,9.447311257707137,13.85409831060831
1668,2023-07-27 22:21:15.075000,27/07/2023,22:21:15:075000,1690507275075000.0,3746521.368,-4237615.757,-2937481.573,-27.601852068977962,-48.51975812690892,10.169767168726246,9.462944414927101,13.629345142008841
1669,2023-07-27 22:21:15.100000,27/07/2023,22:21:15:100000,1690507275100000.0,3746521.18,-4237615.873,-2937481.658,-27.601852906023037,-48.51976033191278,10.175812559552854,9.500456725863236,10.15072268363194
1670,2023-07-27 22:21:15.125000,27/07/2023,22:21:15:125000,1690507275125000.0,3746520.991,-4237615.99,-2937481.743,-27.601853742705043,-48.51976255121499,10.181934900760783,9.5155806443958,10.630469792064694
1671,2023-07-27 22:21:15.150000,27/07/2023,22:21:15:150000,1690507275150000.0,3746520.802,-4237616.105,-2937481.831,-27.601854609643297,-48.51976475709839,10.188119388042905,9.524153978175699,14.280156476733719
1672,2023-07-27 22:21:15.175000,27/07/2023,22:21:15:175000,1690507275175000.0,3746520.621,-4237616.179,-2937481.93,-27.60185567082462,-48.51976662718457,10.176875612883162,9.524557522530902,10.660853155353
1673,2023-07-27 22:21:15.200000,27/07/2023,22:21:15:200000,1690507275200000.0,3746520.432,-4237616.292,-2937482.022,-27.601856576016228,-48.51976881964921,10.183585578307177,9.563973755714724,8.156654093438068
1674,2023-07-27 22:21:15.225000,27/07/2023,22:21:15:225000,1690507275225000.0,3746520.242,-4237616.404,-2937482.115,-27.601857495106813,-48.519771012993345,10.18950798157516,9.5985291060662,10.163513368909394
1675,2023-07-27 22:21:15.250000,27/07/2023,22:21:15:250000,1690507275250000.0,3746520.051,-4237616.515,-2937482.212,-27.601858452087754,-48.51977320721699,10.196032796493325,9.62819640431166,7.916377012244932
1676,2023-07-27 22:21:15.275000,27/07/2023,22:21:15:275000,1690507275275000.0,3746519.861,-4237616.624,-2937482.31,-27.601859420561247,-48.51977538043295,10.202280087185517,9.656169892871604,10.641163564197292
1677,2023-07-27 22:21:15.300000,27/07/2023,22:21:15:300000,1690507275300000.0,3746519.669,-4237616.734,-2937482.409,-27.601860399438245,-48.519777575536146,10.208480674782452,9.71878552083541,16.3211217139019
1678,2023-07-27 22:21:15.325000,27/07/2023,22:21:15:325000,1690507275325000.0,3746519.477,-4237616.843,-2937482.511,-27.601861405439056,-48.519779763929954,10.215407326680825,9.745590643978435,14.164372382848455
1679,2023-07-27 22:21:15.350000,27/07/2023,22:21:15:350000,1690507275350000.0,3746519.285,-4237616.951,-2937482.616,-27.601862438563675,-48.51978194561438,10.223060044747044,9.749393929880975,12.340978121688734
1680,2023-07-27 22:21:15.375000,27/07/2023,22:21:15:375000,1690507275375000.0,3746519.093,-4237617.058,-2937482.722,-27.601863482817837,-48.519784120589435,10.23051217730098,9.729340111230565,8.72611465659259
1681,2023-07-27 22:21:15.400000,27/07/2023,22:21:15:400000,1690507275400000.0,3746518.862,-4237617.138,-2937482.771,-27.601864263818516,-48.519786410377165,10.170736895411794,9.760298458551357,6.680745841595832
1682,2023-07-27 22:21:15.425000,27/07/2023,22:21:15:425000,1690507275425000.0,3746518.669,-4237617.246,-2937482.876,-27.601865299712454,-48.51978859965062,10.177802662683195,9.742205961690606,9.242237012758329
1683,2023-07-27 22:21:15.450000,27/07/2023,22:21:15:450000,1690507275450000.0,3746518.477,-4237617.354,-2937482.978,-27.60186630884553,-48.51979078133521,10.184065442987176,9.701866521448334,8.788542143040564
1684,2023-07-27 22:21:15.475000,27/07/2023,22:21:15:475000,1690507275475000.0,3746518.285,-4237617.463,-2937483.077,-27.601867290854713,-48.51979296972925,10.189602176510013,9.679116488605764,8.914961020666327
1685,2023-07-27 22:21:15.500000,27/07/2023,22:21:15:500000,1690507275500000.0,3746518.093,-4237617.573,-2937483.176,-27.60186826973144,-48.51979516483274,10.195802837414062,9.688286690638341,10.701090832246962
1686,2023-07-27 22:21:15.525000,27/07/2023,22:21:15:525000,1690507275525000.0,3746517.901,-4237617.683,-2937483.276,-27.60186925660525,-48.51979735993627,10.202466833762491,9.7379271921698,12.690050039302445
1687,2023-07-27 22:21:15.550000,27/07/2023,22:21:15:550000,1690507275550000.0,3746517.709,-4237617.794,-2937483.376,-27.60187024034658,-48.519799561749245,10.209794757135999,9.732655649924126,9.765402705469958
1688,2023-07-27 22:21:15.575000,27/07/2023,22:21:15:575000,1690507275575000.0,3746517.453,-4237617.833,-2937483.418,-27.601871163032744,-48.519801766173806,10.104881170870785,9.712426164455511,9.644293908835419
1689,2023-07-27 22:21:15.600000,27/07/2023,22:21:15:600000,1690507275600000.0,3746517.26,-4237617.945,-2937483.516,-27.601872130416723,-48.51980398228521,10.111359405363078,9.779520489267355,13.609879426357898
1690,2023-07-27 22:21:15.625000,27/07/2023,22:21:15:625000,1690507275625000.0,3746517.066,-4237618.061,-2937483.611,-27.60187306404893,-48.51980623282318,10.118516372228656,9.850127816429593,11.734988453339016
1691,2023-07-27 22:21:15.650000,27/07/2023,22:21:15:650000,1690507275650000.0,3746516.871,-4237618.179,-2937483.706,-27.60187399418563,-48.519808504368925,10.126414209784965,9.902848479099335,13.013272954948727
1692,2023-07-27 22:21:15.675000,27/07/2023,22:21:15:675000,1690507275675000.0,3746516.677,-4237618.301,-2937483.801,-27.60187490902309,-48.519810795163444,10.13755470950002,9.932757019075822,18.196338917485573
